Medical name,Brand Name,Drugs side Effects,Dangerous Side effects,Expert Centres,Contact Expert Centres,Contact II Expert Centres,Latitude,Longitude,Genetic Counseling,Contact Genetic C,Contact II Genetic C,Latitude_2,Longitude_2,Diagnostic test,Patient Organisation (PO),PO Link,Age of onset,Prevalence in Europe,Genes,Gene symbol,Type of mutation,UniProtKB
Aldesleukin,Proleukin,Nausea,Chest pain,LUMC - Leids Universitair Medisch Centrum, +31 (0)715269111,Albinusdreef 2333 ZA LEIDEN,5.216.731,,LUMC - Leids Universitair Medisch Centrum, +31 (0)71 526 911,Albinusdreef 22333 ZA LEIDEN,,,Array based techniques,"United Kingdom, Melanoma Focus",https://melanomafocus.com,Adult,1-9 / 1 000 000,cysteinyl leukotriene receptor 2,CYSLTR2,Disease-causing somatic mutation(s) in,Q9NS75
Interleukin - 2,,Vomiting,Seizures,Erasmus MC - Erasmus Medisch Centrum, +31 (0)10 704 0704,s-Gravendijkwal 230 3015 CE ROTTERDAM,5.191.354,,Erasmus MC - Erasmus Medisch Centrum, +31 (0)10 704 0704,Gravendijkwal 230 3015 CE ROTTERDAM,,,Sanguer sequencing,"United Kingdom, CLIC Sargent",https://www.clicsargent.org.uk,,,BRCA1 associated protein 1,BAP1,Disease-causing germline mutation(s) in,Q92560
,,Diarrhea,Extreme worry,Het Oogziekenhuis Rotterdam, +31 (0)10 401 7666,"Schiedamse Vest 180, 3011 BH ROTTERDAM",51.915,,Het Oogziekenhuis Rotterdam, +31 (0)10 401 7666,Schiedamse Vest 180 3011 BH ROTTERDAM,,,MLPA based techniques,"United Kingdom, Teenage Camcer trust",https://www.teenagecancertrust.org,,,G protein subunit alpha q,GNAQ,Disease-causing somatic mutation(s) in,P50148
,,Loss of appetite,abnormal excitement or agitation,Medizinische Universität Graz, +43 (0)316 385 12453,"Auenbruggerpl. 2, 8036 GRAZ",47.070.256,,CHR de Metz-Thionville,  +33 (0)3 87 34 51 35,1 allée du château - CS45001 57085 METZ CEDEX 03,,,FISH,"Australia, RCA Rare Cancers Australia limited",https://melanomafocus.com,,,G protein subunit alpha 11,GNA11,Disease-causing somatic mutation(s) in,P29992
,,Sores in the mouth and thorat,new or worsening depression,Allgemeines Krankenhaus der Stadt Wien, +43 (0)1 40400 79000,Währinger Gürtel 18-20 1097 WIEN,48.220.129,,University Hospital of Antwerp - UZA, + 32 (0)3 275 97 74,Wilrijkstraat 10 2650 ANTWERPEN-EDEGEM,,,Karyotyping,"Belgium, Fondation contre le Cancer, Fondation d'utilité publique",https://www.cancer.be,,,splicing factor 3b subunit 1,SF3B1,Biomarker tested in,O75533
,,Tiredness,seeing things or hearing voices that do not exist (hallucinating),Medizinische Universität Wien, +43 (0)1 40400 39400,"Währinger Str. 13, 1090 WIEN",48.217.723,,Cliniques Universitaires UCL Saint-Luc, +32 (0)2 764 78 00,"Avenue Hippocrate, 10 1200 BRUSSELS",,,NGS sequencing (except WES),"Cyprus, Cyprus Association for Children with Cancer and Related Diseases ""One Dream One Wish""",http://www.enaoniromiaefxi.com/enaoniromiaefxi/,,,,,,
,,Weakness,changes in your vision or speech,St. Anna Kinderspital, +43 (0)1 40170,"Kinderspitalgasse 6, 1090 WIEN",48.216.205,,Erasme Hospital - ULB, +32 (0)2 555 41 45,Route de Lennik 808 1070 BRUSSELS,,,Microsatellite analysis,"Cyprus, PA.SY.KA.F - The Cyprus Association of Cancer Patients and Friends",https://pasykaf.org,,,,,,
,,Dizziness,loss of coordination,GH Est des HCL - Institut d'Hématologie et d'Oncologie Pédiatrique (IHOPe), + 33 (0)4 78 78 26 06,"1 Place Joseph Renaut, 69008 LYON",45.740.452,,Universitair Ziekenhuis Brussel - UZ Brussel, +32 (0)2 801 27 01 ,Laarbeeklaan 101 1090 BRUSSELS,,,,"France, Association Source Vive",http://www.source-vive.org/asso.html,,,,,,
,,Unwell feelin,decreased alertness,CLCC Oscar Lambret, + 33 (0)3 20 29 59 56,"3 Rue Frédéric Combemale BP 307, 59020 LILLE CEDEX",5.061.372,,CHU Sart Tilman - Liège,  +32 (0)4 284 36 40,Domaine Universitaire du Sart Tilman - Bâtiment B 35 · B 4000 LIEGE,,,,"France, La Ligue Contre le Cancer",https://www.ligue-cancer.net,,,,,,
,,Pain at the place where the injection was given,unusual bruising or bleeding,CLCC Institut Gustave Roussy, +33 (0)1 42 11 41 73 ,"114 rue Edouard Vaillant, 94805 VILLEJUIF CEDEX",37.941.502,,Ghent University Hospital - UZ Gent,,Corneel Heymanslaan 10 9000 GENT,,,,"Italy, ALTI - Associazione ''Io, domani'' per la Lotta contro i Tumori Infantili",http://www.iodomani.it,,,,,,
,,Chest pain,extreme sleepiness or tiredness,CHU de Marseille - Hôpital de la Timone, + 33 (0)4 91 38 68 21,"264 rue Saint-Pierre, 13385 MAIRSEILLE CEDEX 5",4.329.206,,University Hospitals Leuven - Gasthuisberg, +32 (0)16 34 59 03,Herestraat 49 3000 LEUVEN,,,,"Luxembourg, Een Haerz fir kriibskrank Kanner / Un coeur pour les enfants atteints de cancer",https://www.kriibskrankkanner.lu,,,,,,
,,,difficulty breathing,CHU Paris IdF Ouest - HEGP Hôpital Européen Georges Pompidou, + 33 (0)1 56 09 34 98,"20 rue Leblanc, 75015 PARIS",32.813.879,,,,,,,,"Poland, KOLIBER - Stowarzyszenie na rzecz dzieci z choroba nowotworowa",https://koliber-dzieciom.pl,,,,,,
,,,wheezing,Hôpital Necker-Enfants Malades, +33 (0)1 44 49 45 07,"149 rue de Sèvres, 75743 PARIS
",48.846.456,,,,,,,,"Poland, Fundacja ""Krwinka""",http://www.krwinka.org,,,,,,
,,,stomach pain,CHU de la Réunion - Hôpital Félix Guyon,262 (0)262 90 56 40,Bellepierre 97405 SAINT-DENIS cedex,43.992.892,,,,,,,,"Spain, Federación Española de Padres de Niños con Cáncer",https://cancerinfantil.org,,,,,,
